System,Year,PdxnYear,PdxnYearBH,RepYear,Popn,ID,Geno,Rep,Rep_ID,Breeding_hist,Cross,Seed_Color,SeedWT_per_Plant_Grams,DTG,GermPercent,Cotyledon_Color,Vigor,DT50%F,100_SW,Taproot_Diameter,BR_1_Diameter,BR_2_Diameter,Branching_Density,Disease_Rating
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,167,B167,2,B167_2,Conventional,ORBV,Pigmented,25.95175294,NA,0.88,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,167,B167,3,B167_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,169,B169,1,B169_1,Conventional,ORBV,Pigmented,21.48999375,NA,0.84,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,169,B169,2,B169_2,Conventional,ORBV,Pigmented,16.06666667,NA,0.92,NA,NA,44,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,169,B169,3,B169_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,171,B171,1,B171_1,Conventional,ORBV,White,35.08999375,NA,0.92,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,171,B171,2,B171_2,Conventional,ORBV,White,38.99333333,NA,0.96,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,171,B171,3,B171_3,Conventional,ORBV,White,NA,NA,0.92,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,179,B179,1,B179_1,Conventional,ORBV,Pigmented,18.23410588,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,179,B179,2,B179_2,Conventional,ORBV,Pigmented,26.76666667,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,179,B179,3,B179_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,18,B18,1,B18_1,Conventional,ORBV,Pigmented,15.44624375,NA,0.88,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,18,B18,2,B18_2,Conventional,ORBV,Pigmented,15.87749375,NA,0.96,NA,NA,40,NA,NA,NA,NA,NA,NA
